district_id,province_name,district_name,pi_scenario,year,month,V_TR,rate_pp_year,pi_weighted,seasonal_multiplier,M_climate,eta,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month
TUR.10.4_1,Artvin,Hopa,high,2046,6,0.06705690518671184,3.858537867424856e-4,5.40940747852936e-5,1.2494033544433176,1.1376963717529034,0.25,30,3,9.068453110100832e-7,2.7205359330302495e-6,2.7205359330302493e-5,2.7205359330302493e-5,2.72053223238089e-6
TUR.10.4_1,Artvin,Hopa,high,2046,7,0.06705690518671184,3.858537867424856e-4,6.207416044701208e-5,1.4337240087847871,1.1376963717529034,0.25,31,3,1.040625272910007e-6,3.1218758187300207e-6,3.225938346021022e-5,3.225938346021022e-5,3.1218709456437566e-6
TUR.10.4_1,Artvin,Hopa,high,2046,8,0.06705690518671184,3.858537867424856e-4,6.642659895750302e-5,1.5342554185233497,1.1376963717529034,0.25,31,3,1.113590537042253e-6,3.3407716111267592e-6,3.4521306648309844e-05,3.4521306648309844e-05,3.3407660307016585e-6
TUR.10.4_1,Artvin,Hopa,high,2046,9,0.06705690518671184,3.858537867424856e-4,5.7182245128184483e-5,1.3207324366221658,1.1376963717529034,0.25,30,3,9.586160974809956e-7,2.8758482924429867e-6,2.8758482924429868e-5,2.8758482924429868e-5,2.8758441571463678e-6
TUR.10.4_1,Artvin,Hopa,high,2046,10,0.06705690518671184,3.858537867424856e-4,5.384296974908498e-5,1.243603460048037,1.1376963717529034,0.25,31,3,9.026357293588463e-7,2.707907188076539e-6,2.7981707610124235e-5,2.7981707610124235e-5,2.7079035217481007e-6
TUR.10.4_1,Artvin,Hopa,high,2046,11,0.06705690518671184,3.858537867424856e-4,3.139779530814124e-5,0.7251823004971923,1.1376963717529034,0.25,30,3,5.263597457624533e-7,1.5790792372873598e-6,1.5790792372873596e-5,1.5790792372873596e-5,1.5790779905877628e-6
TUR.10.4_1,Artvin,Hopa,high,2046,12,0.06705690518671184,3.858537867424856e-4,2.8322263287638982e-5,0.6541469635058071,1.1376963717529034,0.25,31,3,4.748008309880742e-7,1.4244024929642225e-6,1.47188257606303e-5,1.47188257606303e-5,1.4244014785447234e-6
TUR.10.4_1,Artvin,Hopa,high,2047,1,0.06705690518671184,3.858537867424856e-4,2.72468137902937e-5,0.6281034622015411,1.1398771555432696,0.25,31,3,4.567717522439293e-7,1.3703152567317879e-6,1.415992431956181e-5,1.415992431956181e-5,1.3703143179055743e-6
TUR.10.4_1,Artvin,Hopa,high,2047,2,0.06705690518671184,3.858537867424856e-4,2.8395536761038898e-5,0.6545846179366359,1.1398771555432696,0.25,28,3,4.7602920407769397e-7,1.428087612233082e-6,1.3328817714175431e-5,1.3328817714175431e-5,1.4280865925364594e-6
TUR.10.4_1,Artvin,Hopa,high,2047,3,0.06705690518671184,3.858537867424856e-4,2.8270829435572686e-5,0.6517097770197132,1.1398771555432696,0.25,31,3,4.7393858225272494e-7,1.4218157467581748e-6,1.4692096049834474e-5,1.4692096049834474e-5,1.4218147359468247e-6
