district_id,province_name,district_name,pi_scenario,year,lambda_import_year,q_import_year,M_climate_mean,weighted_rate_pp_year
TUR.39.3_1,Isparta,Eğirdir,high,2059,0.00304052879536316,2.9882024609939606e-4,1.4422124237858518,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2060,0.0030487214319607726,2.992004791139147e-4,1.4440478418841924,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2061,0.0031085077916983925,3.0550013587515856e-4,1.474456940745894,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2062,0.003348096449222589,3.290427257676143e-4,1.5881011946053998,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2063,0.0031633063617748274,3.108848314276047e-4,1.5004495808328584,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2064,0.0033063056636834904,3.2447560588588775e-4,1.5660546850804258,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2065,0.003128979685489127,3.075117778078562e-4,1.4841673867033136,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2066,0.003233853556367643,3.178169981659096e-4,1.5339122790175967,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2067,0.003262284906264176,3.206107293760585e-4,1.5473981412880313,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2068,0.0032826147011100737,3.2215098684751364e-4,1.5548332681313697,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2069,0.0031374421569526664,3.083433295156812e-4,1.4881813960839514,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2070,0.003394461925668955,3.3359865119397814e-4,1.6100937679005116,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2071,0.0032881956795710434,3.231567760114684e-4,1.5596884172211012,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2072,0.0032325473605760826,3.1723823102614013e-4,1.5311184667097018,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2073,0.0035009143710898385,3.440587132368389e-4,1.6605874467444472,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2074,0.003218150856912616,3.162740106935624e-4,1.5264640067436615,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2075,0.0035818824714770104,3.520145995392632e-4,1.6989931199601758,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,low,2024,0.0010637368620406325,1.0440494202090811e-4,1,1.9441070114292855e-4
TUR.39.3_1,Isparta,Eğirdir,low,2025,0.0012780867217150006,1.2562001410554302e-4,1.203212843421189,1.9441070114292855e-4
TUR.39.3_1,Isparta,Eğirdir,low,2026,0.001235775928156651,1.214616423843573e-4,1.1633806969029414,1.9441070114292855e-4
TUR.39.3_1,Isparta,Eğirdir,low,2027,0.0012640471798132827,1.242401876359045e-4,1.1899957644146502,1.9441070114292855e-4
TUR.39.3_1,Isparta,Eğirdir,low,2028,0.0012261195276136636,1.2034171477093292e-4,1.1526531804568647,1.9441070114292855e-4
TUR.39.3_1,Isparta,Eğirdir,low,2029,0.0013906035112008768,1.366782580182191e-4,1.3091381969341958,1.9441070114292855e-4
TUR.39.3_1,Isparta,Eğirdir,low,2030,0.0013507755861402035,1.3276395030925592e-4,1.271643461350961,1.9441070114292855e-4
TUR.39.3_1,Isparta,Eğirdir,low,2031,0.0013174228690377861,1.2948601737627907e-4,1.2402446064479842,1.9441070114292855e-4
TUR.39.3_1,Isparta,Eğirdir,low,2032,0.0013930438721740507,1.3672395817998506e-4,1.3095759548210726,1.9441070114292855e-4
TUR.39.3_1,Isparta,Eğirdir,low,2033,0.0013430614896178968,1.3200580340611e-4,1.2643812703619135,1.9441070114292855e-4
TUR.39.3_1,Isparta,Eğirdir,low,2034,0.001291843131953161,1.2697201213918152e-4,1.2161633774688125,1.9441070114292855e-4
TUR.39.3_1,Isparta,Eğirdir,low,2035,0.0012588510837517005,1.2372950732220112e-4,1.1851040655660257,1.9441070114292855e-4
