district_id,province_name,district_name,pi_scenario,year,month,V_TR,rate_pp_year,pi_weighted,seasonal_multiplier,M_climate,eta,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month,eta_sens,scale_factor
TUR.59.4_1,Mugla,Fethiye,high,2081,4,0.3169429862769339,3.858537867424856e-4,4.054897271554836e-5,0.8013462854757657,1.3296459960581422,0.25,30,3,4.241065125966178e-6,1.2723195377898533e-5,1.2723195377898532e-4,1.2723195377898532e-4,1.2723114438339955e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2081,5,0.3169429862769339,3.858537867424856e-4,5.582306526619174e-5,1.103207914941687,1.3296459960581422,0.25,31,3,5.838600572837668e-6,1.7515801718513006e-5,1.8099661775796772e-4,1.8099661775796772e-4,1.7515648317756316e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2081,6,0.3169429862769339,3.858537867424856e-4,6.3220419356802e-5,1.2494033544433176,1.3296459960581422,0.25,30,3,6.612298606526219e-6,1.9836895819578657e-5,1.9836895819578659e-4,1.9836895819578659e-4,1.9836699069686325e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2081,7,0.3169429862769339,3.858537867424856e-4,7.254679608281744e-5,1.4337240087847871,1.3296459960581422,0.25,31,3,7.587755404452937e-6,2.276326621335881e-5,2.3522041753804105e-4,2.3522041753804105e-4,2.276300713222046e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2081,8,0.3169429862769339,3.858537867424856e-4,7.763351328282653e-5,1.5342554185233497,1.3296459960581422,0.25,31,3,8.119781186559589e-6,2.4359343559678765e-5,2.517132167833473e-4,2.517132167833473e-4,2.435904687325685e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2081,9,0.3169429862769339,3.858537867424856e-4,6.682958511250447e-5,1.3207324366221658,1.3296459960581422,0.25,30,3,6.989785531477879e-6,2.0969356594433634e-5,2.0969356594433637e-4,2.0969356594433637e-4,2.0969136738990812e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2081,10,0.3169429862769339,3.858537867424856e-4,6.292695110443614e-5,1.243603460048037,1.3296459960581422,0.25,31,3,6.581604414113056e-6,1.974481324233917e-5,2.0402973683750472e-4,2.0402973683750472e-4,1.9744618314776474e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2081,11,0.3169429862769339,3.858537867424856e-4,3.669506493553243e-5,0.7251823004971923,1.3296459960581422,0.25,30,3,3.837980342556905e-6,1.1513941027670715e-5,1.1513941027670718e-4,1.1513941027670718e-4,1.1513874742519192e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2081,12,0.3169429862769339,3.858537867424856e-4,3.3100654039830424e-5,0.6541469635058071,1.3296459960581422,0.25,31,3,3.462036645904159e-6,1.0386109937712476e-5,1.0732313602302893e-4,1.0732313602302893e-4,1.0386056002231747e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2082,1,0.3169429862769339,3.858537867424856e-4,3.424799785511912e-5,0.6281034622015411,1.432778428344671,0.25,31,3,3.582038695688469e-6,1.0746116087065406e-5,1.1104319956634252e-4,1.1104319956634252e-4,1.0746058347721466e-5,0.33,1.32
