year,month,M_climate,deltaT_centered
2050,11,1.0991322404612933,0.7625556958561024
2050,12,1.0991322404612933,0.7625556958561024
2051,1,1.1337337587353757,1.0287212210413514
2051,2,1.1337337587353757,1.0287212210413514
2051,3,1.1337337587353757,1.0287212210413514
2051,4,1.1337337587353757,1.0287212210413514
2051,5,1.1337337587353757,1.0287212210413514
2051,6,1.1337337587353757,1.0287212210413514
2051,7,1.1337337587353757,1.0287212210413514
2051,8,1.1337337587353757,1.0287212210413514
2051,9,1.1337337587353757,1.0287212210413514
2051,10,1.1337337587353757,1.0287212210413514
2051,11,1.1337337587353757,1.0287212210413514
2051,12,1.1337337587353757,1.0287212210413514
2052,1,1.0947778487361988,0.7290603748938373
2052,2,1.0947778487361988,0.7290603748938373
2052,3,1.0947778487361988,0.7290603748938373
2052,4,1.0947778487361988,0.7290603748938373
2052,5,1.0947778487361988,0.7290603748938373
2052,6,1.0947778487361988,0.7290603748938373
2052,7,1.0947778487361988,0.7290603748938373
2052,8,1.0947778487361988,0.7290603748938373
2052,9,1.0947778487361988,0.7290603748938373
2052,10,1.0947778487361988,0.7290603748938373
2052,11,1.0947778487361988,0.7290603748938373
2052,12,1.0947778487361988,0.7290603748938373
2053,1,1.1396503117034507,1.07423316694962
2053,2,1.1396503117034507,1.07423316694962
2053,3,1.1396503117034507,1.07423316694962
2053,4,1.1396503117034507,1.07423316694962
2053,5,1.1396503117034507,1.07423316694962
2053,6,1.1396503117034507,1.07423316694962
2053,7,1.1396503117034507,1.07423316694962
2053,8,1.1396503117034507,1.07423316694962
2053,9,1.1396503117034507,1.07423316694962
2053,10,1.1396503117034507,1.07423316694962
2053,11,1.1396503117034507,1.07423316694962
2053,12,1.1396503117034507,1.07423316694962
2054,1,1.1154616886919977,0.8881668360922905
2054,2,1.1154616886919977,0.8881668360922905
2054,3,1.1154616886919977,0.8881668360922905
2054,4,1.1154616886919977,0.8881668360922905
2054,5,1.1154616886919977,0.8881668360922905
2054,6,1.1154616886919977,0.8881668360922905
2054,7,1.1154616886919977,0.8881668360922905
2054,8,1.1154616886919977,0.8881668360922905
2054,9,1.1154616886919977,0.8881668360922905
2054,10,1.1154616886919977,0.8881668360922905
2054,11,1.1154616886919977,0.8881668360922905
2054,12,1.1154616886919977,0.8881668360922905
2055,1,1.095336792749361,0.7333599442258532
2055,2,1.095336792749361,0.7333599442258532
2055,3,1.095336792749361,0.7333599442258532
2055,4,1.095336792749361,0.7333599442258532
2055,5,1.095336792749361,0.7333599442258532
2055,6,1.095336792749361,0.7333599442258532
2055,7,1.095336792749361,0.7333599442258532
2055,8,1.095336792749361,0.7333599442258532
2055,9,1.095336792749361,0.7333599442258532
2055,10,1.095336792749361,0.7333599442258532
2055,11,1.095336792749361,0.7333599442258532
2055,12,1.095336792749361,0.7333599442258532
2056,1,1.2104347724505988,1.618729018850761
2056,2,1.2104347724505988,1.618729018850761
2056,3,1.2104347724505988,1.618729018850761
2056,4,1.2104347724505988,1.618729018850761
2056,5,1.2104347724505988,1.618729018850761
2056,6,1.2104347724505988,1.618729018850761
2056,7,1.2104347724505988,1.618729018850761
2056,8,1.2104347724505988,1.618729018850761
2056,9,1.2104347724505988,1.618729018850761
2056,10,1.2104347724505988,1.618729018850761
2056,11,1.2104347724505988,1.618729018850761
2056,12,1.2104347724505988,1.618729018850761
2057,1,1.0404761497692954,0.3113549982253492
2057,2,1.0404761497692954,0.3113549982253492
2057,3,1.0404761497692954,0.3113549982253492
2057,4,1.0404761497692954,0.3113549982253492
2057,5,1.0404761497692954,0.3113549982253492
