district_id,date.x,year,month,era5_value,variable,date.y,hist_value,bias
TUR.40.25_1,1990-02-01,1990,2,5.723290920257568,tas,1990-02-15,6.157436370849609,-0.434145450592041
TUR.40.25_1,1990-03-01,1990,3,8.495508193969727,tas,1990-03-16,10.249300003051758,-1.7537918090820313
TUR.40.25_1,1990-04-01,1990,4,12.53603458404541,tas,1990-04-16,13.48734188079834,-0.9513072967529297
TUR.40.25_1,1990-05-01,1990,5,15.30605411529541,tas,1990-05-16,16.991031646728516,-1.6849775314331055
TUR.40.25_1,1990-06-01,1990,6,19.978906631469727,tas,1990-06-16,22.035940170288086,-2.0570335388183594
TUR.40.25_1,1990-07-01,1990,7,22.825342178344727,tas,1990-07-16,22.170860290527344,0.6544818878173828
TUR.40.25_1,1990-08-01,1990,8,22.799951553344727,tas,1990-08-16,21.38172721862793,1.4182243347167969
TUR.40.25_1,1990-09-01,1990,9,18.905420303344727,tas,1990-09-16,18.444669723510742,0.4607505798339844
TUR.40.25_1,1990-10-01,1990,10,15.61440372467041,tas,1990-10-16,15.608743667602539,0.005660057067871094
TUR.40.25_1,1990-11-01,1990,11,13.395410537719727,tas,1990-11-16,13.985153198242188,-0.5897426605224609
TUR.40.25_1,1990-12-01,1990,12,8.394189834594727,tas,1990-12-16,10.311002731323242,-1.9168128967285156
TUR.40.25_1,1991-01-01,1991,1,5.252099514007568,tas,1991-01-16,5.2528486251831055,-7.491111755371094e-4
TUR.40.25_1,1991-02-01,1991,2,4.287255764007568,tas,1991-02-15,6.6694111824035645,-2.382155418395996
TUR.40.25_1,1991-03-01,1991,3,6.359766006469727,tas,1991-03-16,9.88727855682373,-3.527512550354004
TUR.40.25_1,1991-04-01,1991,4,10.627099990844727,tas,1991-04-16,14.586565017700195,-3.9594650268554688
TUR.40.25_1,1991-05-01,1991,5,15.035547256469727,tas,1991-05-16,15.954761505126953,-0.9192142486572266
TUR.40.25_1,1991-06-01,1991,6,19.929590225219727,tas,1991-06-16,20.387014389038086,-0.4574241638183594
TUR.40.25_1,1991-07-01,1991,7,22.727197647094727,tas,1991-07-16,23.966642379760742,-1.2394447326660156
TUR.40.25_1,1991-08-01,1991,8,23.047998428344727,tas,1991-08-16,22.270278930664063,0.7777194976806641
TUR.40.25_1,1991-09-01,1991,9,19.067285537719727,tas,1991-09-16,19.801433563232422,-0.7341480255126953
TUR.40.25_1,1991-10-01,1991,10,15.78115177154541,tas,1991-10-16,16.10133171081543,-0.32017993927001953
TUR.40.25_1,1991-11-01,1991,11,11.195215225219727,tas,1991-11-16,7.440313339233398,3.754901885986328
TUR.40.25_1,1991-12-01,1991,12,4.409081935882568,tas,1991-12-16,7.183999538421631,-2.7749176025390625
TUR.40.25_1,1992-01-01,1992,1,4.097680568695068,tas,1992-01-16,4.100340366363525,-0.0026597976684570313
TUR.40.25_1,1992-02-01,1992,2,2.6236815452575684,tas,1992-02-15,6.7736592292785645,-4.149977684020996
TUR.40.25_1,1992-03-01,1992,3,6.637109756469727,tas,1992-03-16,6.334224700927734,0.3028850555419922
TUR.40.25_1,1992-04-01,1992,4,11.47914981842041,tas,1992-04-16,14.26488208770752,-2.7857322692871094
TUR.40.25_1,1992-05-01,1992,5,14.157129287719727,tas,1992-05-16,15.676398277282715,-1.5192689895629883
TUR.40.25_1,1992-06-01,1992,6,20.446680068969727,tas,1992-06-16,20.77366065979004,-0.3269805908203125
TUR.40.25_1,1992-07-01,1992,7,21.334863662719727,tas,1992-07-16,23.089441299438477,-1.75457763671875
TUR.40.25_1,1992-08-01,1992,8,24.203760147094727,tas,1992-08-16,23.197797775268555,1.0059623718261719
TUR.40.25_1,1992-09-01,1992,9,19.363916397094727,tas,1992-09-16,20.810895919799805,-1.4469795227050781
TUR.40.25_1,1992-10-01,1992,10,17.642724990844727,tas,1992-10-16,14.758585929870605,2.884139060974121
TUR.40.25_1,1992-11-01,1992,11,10.356103897094727,tas,1992-11-16,9.774580001831055,0.5815238952636719
TUR.40.25_1,1992-12-01,1992,12,4.837792873382568,tas,1992-12-16,7.930379867553711,-3.0925869941711426
TUR.40.25_1,1993-01-01,1993,1,3.9728026390075684,tas,1993-01-16,6.164640426635742,-2.191837787628174
TUR.40.25_1,1993-02-01,1993,2,2.8580567836761475,tas,1993-02-15,5.9915385246276855,-3.133481740951538
TUR.40.25_1,1993-03-01,1993,3,6.491601943969727,tas,1993-03-16,8.829458236694336,-2.3378562927246094
TUR.40.25_1,1993-04-01,1993,4,10.74233341217041,tas,1993-04-16,11.237279891967773,-0.4949464797973633
TUR.40.25_1,1993-05-01,1993,5,14.854883193969727,tas,1993-05-16,15.001421928405762,-0.14653873443603516
TUR.40.25_1,1993-06-01,1993,6,20.582666397094727,tas,1993-06-16,19.937894821166992,0.6447715759277344
TUR.40.25_1,1993-07-01,1993,7,21.953760147094727,tas,1993-07-16,23.577587127685547,-1.6238269805908203
TUR.40.25_1,1993-08-01,1993,8,22.851951599121094,tas,1993-08-16,22.863828659057617,-0.011877059936523438
TUR.40.25_1,1993-09-01,1993,9,19.578271865844727,tas,1993-09-16,19.492443084716797,0.08582878112792969
TUR.40.25_1,1993-10-01,1993,10,17.267969131469727,tas,1993-10-16,15.359281539916992,1.9086875915527344
TUR.40.25_1,1993-11-01,1993,11,9.165918350219727,tas,1993-11-16,10.520577430725098,-1.354659080505371
TUR.40.25_1,1993-12-01,1993,12,8.793603897094727,tas,1993-12-16,8.299046516418457,0.49455738067626953
TUR.40.25_1,1994-01-01,1994,1,7.256005764007568,tas,1994-01-16,7.132312297821045,0.12369346618652344
TUR.40.25_1,1994-02-01,1994,2,5.477685928344727,tas,1994-02-15,3.95674204826355,1.5209438800811768
TUR.40.25_1,1994-03-01,1994,3,7.908105373382568,tas,1994-03-16,10.637578010559082,-2.7294726371765137
TUR.40.25_1,1994-04-01,1994,4,13.323144912719727,tas,1994-04-16,12.703442573547363,0.6197023391723633
TUR.40.25_1,1994-05-01,1994,5,16.995019912719727,tas,1994-05-16,16.72076416015625,0.27425575256347656
TUR.40.25_1,1994-06-01,1994,6,20.006982803344727,tas,1994-06-16,21.791168212890625,-1.7841854095458984
TUR.40.25_1,1994-07-01,1994,7,23.437402725219727,tas,1994-07-16,23.902095794677734,-0.4646930694580078
TUR.40.25_1,1994-08-01,1994,8,23.869043350219727,tas,1994-08-16,24.027284622192383,-0.15824127197265625
TUR.40.25_1,1994-09-01,1994,9,22.946924209594727,tas,1994-09-16,20.42656898498535,2.520355224609375
TUR.40.25_1,1994-10-01,1994,10,18.001123428344727,tas,1994-10-16,15.836355209350586,2.1647682189941406
TUR.40.25_1,1994-11-01,1994,11,9.879785537719727,tas,1994-11-16,12.915461540222168,-3.0356760025024414
TUR.40.25_1,1994-12-01,1994,12,6.393701076507568,tas,1994-12-16,9.903801918029785,-3.510100841522217
TUR.40.25_1,1995-01-01,1995,1,6.130517482757568,tas,1995-01-16,5.059783458709717,1.0707340240478516
TUR.40.25_1,1995-02-01,1995,2,7.303613185882568,tas,1995-02-15,6.133782386779785,1.1698307991027832
TUR.40.25_1,1995-03-01,1995,3,8.372217178344727,tas,1995-03-16,6.073704242706299,2.2985129356384277
TUR.40.25_1,1995-04-01,1995,4,11.10878849029541,tas,1995-04-16,13.239060401916504,-2.1302719116210938
TUR.40.25_1,1995-05-01,1995,5,16.337059020996094,tas,1995-05-16,15.682985305786133,0.6540737152099609
TUR.40.25_1,1995-06-01,1995,6,22.093896865844727,tas,1995-06-16,20.644697189331055,1.4491996765136719
TUR.40.25_1,1995-07-01,1995,7,22.366601943969727,tas,1995-07-16,24.885103225708008,-2.5185012817382813
TUR.40.25_1,1995-08-01,1995,8,22.719383239746094,tas,1995-08-16,22.296955108642578,0.4224281311035156
TUR.40.25_1,1995-09-01,1995,9,19.710596084594727,tas,1995-09-16,19.622812271118164,0.0877838134765625
TUR.40.25_1,1995-10-01,1995,10,14.22646427154541,tas,1995-10-16,16.720991134643555,-2.4945268630981445
TUR.40.25_1,1995-11-01,1995,11,8.51088809967041,tas,1995-11-16,7.797234535217285,0.713653564453125
TUR.40.25_1,1995-12-01,1995,12,7.396386623382568,tas,1995-12-16,8.942000389099121,-1.5456137657165527
TUR.40.25_1,1996-01-01,1996,1,4.111230373382568,tas,1996-01-16,7.087549686431885,-2.9763193130493164
TUR.40.25_1,1996-02-01,1996,2,5.136621475219727,tas,1996-02-15,5.297698497772217,-0.16107702255249023
TUR.40.25_1,1996-03-01,1996,3,4.599511623382568,tas,1996-03-16,11.12643814086914,-6.526926517486572
TUR.40.25_1,1996-04-01,1996,4,9.35170841217041,tas,1996-04-16,12.345678329467773,-2.9939699172973633
TUR.40.25_1,1996-05-01,1996,5,17.802637100219727,tas,1996-05-16,17.24934959411621,0.5532875061035156
TUR.40.25_1,1996-06-01,1996,6,20.300682067871094,tas,1996-06-16,20.17336654663086,0.12731552124023438
