district_id,province_name,district_name,pi_scenario,year,month,V_TR,rate_pp_year,pi_weighted,seasonal_multiplier,M_climate,eta,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month,eta_sens,scale_factor
TUR.59.4_1,Mugla,Fethiye,main,2044,6,0.3169429862769339,2.781819323442242e-4,3.9450984627542596e-5,1.2494033544433176,1.1508671403781745,0.25,30,3,1.8755569319128144e-6,5.626670795738443e-6,5.6266707957384434e-5,5.6266707957384434e-5,5.626654966062183e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2044,7,0.3169429862769339,2.781819323442242e-4,4.5270935947527846e-5,1.4337240087847871,1.1508671403781745,0.25,31,3,2.1522458446141906e-6,6.456737533842572e-6,6.671962118303991e-5,6.671962118303991e-5,6.456716689196007e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2044,8,0.3169429862769339,2.781819323442242e-4,4.84452154746462e-5,1.5342554185233497,1.1508671403781745,0.25,31,3,2.3031556895045842e-6,6.909467068513753e-6,7.139782637464212e-5,7.139782637464212e-5,6.909443198255261e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2044,9,0.3169429862769339,2.781819323442242e-4,4.170321473184746e-5,1.3207324366221658,1.1508671403781745,0.25,30,3,1.9826312121689937e-6,5.947893636506981e-6,5.94789363650698e-5,5.94789363650698e-5,5.947875947875936e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2044,10,0.3169429862769339,2.781819323442242e-4,3.926785157348789e-5,1.243603460048037,1.1508671403781745,0.25,31,3,1.8668505213570973e-6,5.6005515640712925e-6,5.7872366162070016e-5,5.7872366162070016e-5,5.6005358810562456e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2044,11,0.3169429862769339,2.781819323442242e-4,2.2898443862495732e-5,0.7251823004971923,1.1508671403781745,0.25,30,3,1.088625176831119e-6,3.2658755304933568e-6,3.2658755304933565e-5,3.2658755304933565e-5,3.2658701974996873e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2044,12,0.3169429862769339,2.781819323442242e-4,2.065544665197372e-5,0.6541469635058071,1.1508671403781745,0.25,31,3,9.81989841714067e-7,2.9459695251422005e-6,3.0441685093136073e-5,3.0441685093136073e-5,2.945965185796595e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2045,1,0.3169429862769339,2.781819323442242e-4,1.889814425692915e-5,0.6281034622015411,1.09661332912937,0.25,31,3,8.984451413825119e-7,2.695335424147536e-6,2.785179938285787e-5,2.785179938285787e-5,2.695331791757738e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2045,2,0.3169429862769339,2.781819323442242e-4,1.969489161335325e-5,0.6545846179366359,1.09661332912937,0.25,28,3,9.363236643505079e-7,2.8089709930515236e-6,2.621706260181422e-5,2.621706260181422e-5,2.808967047851496e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2045,3,0.3169429862769339,2.781819323442242e-4,1.9608395347425756e-5,0.6517097770197132,1.09661332912937,0.25,31,3,9.322115066267784e-7,2.7966345198803353e-6,2.889855670543013e-5,2.889855670543013e-5,2.7966306093141213e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2045,4,0.3169429862769339,2.781819323442242e-4,2.4110547298561436e-5,0.8013462854757657,1.09661332912937,0.25,30,3,1.1462503292365982e-6,3.438750987709795e-6,3.438750987709795e-5,3.438750987709795e-5,3.438745075245997e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2045,5,0.3169429862769339,2.781819323442242e-4,3.319267376089563e-5,1.103207914941687,1.09661332912937,0.25,31,3,1.578027771644143e-6,4.7340833149324295e-6,4.8918860920968435e-5,4.8918860920968435e-5,4.734072109213727e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2045,6,0.3169429862769339,2.781819323442242e-4,3.759123386359864e-5,1.2494033544433176,1.09661332912937,0.25,30,3,1.7871416877845333e-6,5.3614250633536e-6,5.3614250633536e-5,5.3614250633536e-5,5.361410690962742e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2045,7,0.3169429862769339,2.781819323442242e-4,4.313683397139112e-5,1.4337240087847871,1.09661332912937,0.25,31,3,2.0507875466137485e-6,6.1523626398412454e-6,6.357441394502622e-5,6.357441394502622e-5,6.152343714149744e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2045,8,0.3169429862769339,2.781819323442242e-4,4.616147930813774e-5,1.5342554185233497,1.09661332912937,0.25,31,3,2.1945835654323105e-6,6.583750696296931e-6,6.803209052840162e-5,6.803209052840162e-5,6.583729023512674e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2045,9,0.3169429862769339,2.781819323442242e-4,3.973729416073546e-5,1.3207324366221658,1.09661332912937,0.25,30,3,1.8891685016802696e-6,5.667505505040809e-6,5.667505505040808e-5,5.667505505040808e-5,5.667489444749485e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2045,10,0.3169429862769339,2.781819323442242e-4,3.7416733685735615e-5,1.243603460048037,1.09661332912937,0.25,31,3,1.778845696662869e-6,5.336537089988606e-6,5.514421659654894e-5,5.514421659654894e-5,5.336522850729608e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2045,11,0.3169429862769339,2.781819323442242e-4,2.1818984510257877e-5,0.7251823004971923,1.09661332912937,0.25,30,3,1.0373061162316944e-6,3.111918348695083e-6,3.111918348695083e-5,3.111918348695083e-5,3.1119135066592918e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2045,12,0.3169429862769339,2.781819323442242e-4,1.9681723763764758e-5,0.6541469635058071,1.09661332912937,0.25,31,3,9.356976457147946e-7,2.807092937144384e-6,2.9006627017158633e-5,2.9006627017158633e-5,2.8070889972475754e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2046,1,0.3169429862769339,2.781819323442242e-4,1.9606129135762984e-5,0.6281034622015411,1.1376963717529034,0.25,31,3,9.321037676429882e-7,2.7963113029289647e-6,2.8895216796932634e-5,2.8895216796932634e-5,2.796307393304609e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2046,2,0.3169429862769339,2.781819323442242e-4,2.0432724889385412e-5,0.6545846179366359,1.1376963717529034,0.25,28,3,9.714013266325268e-7,2.9142039798975806e-6,2.7199237145710755e-5,2.7199237145710755e-5,2.9141997336390446e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2046,3,0.3169429862769339,2.781819323442242e-4,2.034298823128111e-5,0.6517097770197132,1.1376963717529034,0.25,31,3,9.671351159728136e-7,2.9014053479184407e-6,2.9981188595157218e-5,2.9981188595157218e-5,2.901401138899473e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2046,4,0.3169429862769339,2.781819323442242e-4,2.5013803010898172e-5,0.8013462854757657,1.1376963717529034,0.25,30,3,1.189192413662554e-6,3.5675772409876616e-6,3.567577240987662e-5,3.567577240987662e-5,3.567570877160975e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2046,5,0.3169429862769339,2.781819323442242e-4,3.443616817666584e-5,1.103207914941687,1.1376963717529034,0.25,31,3,1.6371452966770783e-6,4.911435890031235e-6,5.0751504196989426e-5,5.0751504196989426e-5,4.911423828968253e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2046,6,0.3169429862769339,2.781819323442242e-4,3.899950796260043e-5,1.2494033544433176,1.1376963717529034,0.25,30,3,1.8540930775496464e-6,5.562279232648939e-6,5.562279232648939e-5,5.562279232648939e-5,5.5622637632479766e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2046,7,0.3169429862769339,2.781819323442242e-4,4.475285730953793e-5,1.4337240087847871,1.1376963717529034,0.25,31,3,2.1276156360165694e-6,6.382846908049707e-6,6.595608471651365e-5,6.595608471651365e-5,6.382826537754127e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2046,8,0.3169429862769339,2.781819323442242e-4,4.7890811388562327e-5,1.5342554185233497,1.1376963717529034,0.25,31,3,2.2767985165074507e-6,6.830395549522352e-6,7.058075401173099e-5,7.058075401173099e-5,6.830372222377257e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2046,9,0.3169429862769339,2.781819323442242e-4,4.122596409994461e-5,1.3207324366221658,1.1376963717529034,0.25,30,3,1.959942026097317e-6,5.879826078291951e-6,5.879826078291952e-5,5.879826078291952e-5,5.879808792186303e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2046,10,0.3169429862769339,2.781819323442242e-4,3.881847064068911e-5,1.243603460048037,1.1376963717529034,0.25,31,3,1.8454863011345231e-6,5.536458903403569e-6,5.721007533517022e-5,5.721007533517022e-5,5.536443577258687e-6,0.15,0.6
